,متوسط,متوسط,متوسط,إبتدائي,إبتدائي,إبتدائي,ثانوي,ثانوي,ثانوي, 
الفترة,ذكور ,إناث ,المجموع ,ذكور ,إناث ,المجموع ,ذكور ,إناث ,المجموع ,إجمالي عدد الطلبة 
1389/1390,55890,5305,61195,277364,119789,397153,14058,1487,15545,473893
1390/1391,60926,8645,69571,295520,132277,427797,18178,1856,20034,517402
1391/1392,70802,13546,84348,321043,153964,475007,20440,2979,23419,582774
1392/1393,78924,20518,99442,346928,174194,521122,23242,4009,27251,647815
1393/1394,86247,29478,115725,380286,197448,577734,26774,6412,33186,726645
1394/1395,98739,38544,137283,420194,223304,643498,31333,10206,41539,822320
1395/1396,107052,47817,154869,439502,246606,686108,34970,13856,48826,889803
1396/1397,122428,55493,177921,459638,266425,726063,42415,17518,59933,963917
1397/1398,132991,64201,197192,474639,278338,752977,49978,20384,70362,1020531
1398/1399,149305,71037,220342,503934,298876,802810,59151,24565,83716,1106868
1399/1400,165107,80087,245194,536891,325369,862260,64627,28957,93584,1201038
1400/1401,168567,88157,256724,570397,360039,930436,65873,34150,100023,1287183
1401/1402,176641,97362,274003,600891,397416,998307,74270,41819,116089,1388399
1402/1403,193084,108414,301498,637117,436411,1073528,80756,49525,130281,1505307
1403/1404,212042,123317,335359,676281,490323,1166604,88209,58772,146981,1648944
1404/1405,235552,137582,373134,720245,542708,1262953,96931,67255,164186,1800273
1405/1406,251660,150458,402118,759886,587535,1347421,105632,74508,180140,1929679
1407,266701,170456,437157,810774,649509,1460283,113895,84554,198449,2095889
1408,278843,187000,465843,867664,710623,1578287,123454,94124,217578,2261708
1409,292391,202458,494849,924027,770367,1694394,137957,106349,244306,2433549
1410,314010,224204,538214,980362,820703,1801065,150468,118114,268582,2607861
1411,322823,247257,570080,1019708,857208,1876916,156976,132586,289562,2736558
1412,347198,269362,616560,1028978,893076,1922054,169804,143772,313576,2852190
1413,390028,303170,693198,1074883,950998,2025881,188537,151949,340486,3059565
1414,434073,336766,770839,1117655,997081,2114736,212138,173615,385753,3271328
1415/1416,462091,371557,833648,1135545,1033092,2168637,232882,202016,434898,3437183
1416/1417,493316,394558,887874,1178716,1069526,2248242,266407,232168,498575,3634691
1417/1418,516786,416919,933705,1174411,1081774,2256185,299821,267519,567340,3757230
1418/1419,538011,444795,982806,1165378,1078235,2243613,335576,306529,642105,3868524
1419/1420,564126,471739,1035865,1175556,1084293,2259849,366661,338445,705106,4000820
1420/1421,582490,491311,1073801,1189364,1095964,2285328,390418,365559,755977,4115106
1421/1422,589654,494281,1083935,1200598,1107862,2308460,407178,387001,794179,4186574
1422/1423,606069,509298,1115367,1201401,1114765,2316166,433438,408931,842369,4273902
1423/1424,589174,504772,1093946,1219569,1122645,2342214,442201,413324,855525,4291685
1424/1425,574005,504033,1078038,1241840,1143661,2385501,465822,426309,892131,4355670
1425/1426,566652,504186,1070838,1250913,1164641,2415554,504241,448923,953164,4439556
1426/1427,584547,515803,1100350,1257277,1175783,2433060,538350,462451,1000801,4534211
1427/1428,609300,535248,1144548,1255117,1187365,2442482,541849,471147,1012996,4600026
1428/1429,634018,554880,1188898,1269273,1200590,2469863,567025,491489,1058514,4717275
1429/1430,639555,553942,1193497,1259051,1206958,2466009,611784,478608,1090392,4749898
1430/1431,634927,553415,1188342,1265426,1227699,2493125,632836,510745,1143581,4825048
1431/1432,636693,561721,1198414,1273119,1240696,2513815,669428,536920,1206348,4918577
1432/1433,636354,575675,1212029,1285270,1245474,2530744,681085,545120,1226205,4968978
1433/1434,639933,590644,1230577,1304068,1266266,2570334,670198,543886,1214084,5014995
1434/1435,644029,605362,1249391,1328418,1295247,2623665,680134,578454,1258588,5131644
1435/1436,657595,632976,1290571,1347671,1319836,2667507,657685,591965,1249650,5207728
1436/1437,673461,642942,1316403,1391925,1379200,2771125,660267,607371,1267638,5355166
1437/1438,678328,651210,1329538,1463813,1432129,2895942,649202,617346,1266548,5492028
1438/1439,661232,646993,1308225,1463109,1455138,2918247,648122,630686,1278808,5505280
1439/1440,659057,645407,1304464,1440604,1432921,2873525,631980,624764,1256744,5434733
1440/1441,719440,697257,1416697,1611603,1587033,3198636,671220,657908,1329128,5944461
  المصدر:  وزارة التعليم.  <br />
